index,Y
0,22
1,0
2,29
3,39
4,9
5,41
6,17
7,44
8,25
9,42
10,3
11,8
12,22
13,35
14,24
15,8
16,12
17,28
18,9
19,45
20,45
21,0
22,43
23,7
24,16
25,19
26,8
27,14
28,43
29,27
30,29
31,29
32,21
33,32
34,7
35,3
36,9
37,19
38,5
39,40
40,31
41,41
42,34
43,16
44,11
45,18
46,16
47,7
48,36
49,26
50,28
51,42
52,25
53,3
54,46
55,8
56,23
57,43
58,19
59,10
60,33
61,20
62,4
63,21
64,13
65,29
66,12
67,16
68,26
69,43
70,2
71,11
72,3
73,41
74,8
75,30
76,25
77,13
78,20
79,21
80,9
81,29
82,21
83,38
84,15
85,21
86,16
87,31
88,40
89,36
90,4
91,10
92,22
93,3
94,4
95,21
96,25
97,11
98,32
99,6
100,40
101,7
102,8
103,43
104,8
105,11
106,29
107,8
108,5
109,41
110,12
111,32
112,23
113,10
114,44
115,8
116,21
117,35
118,29
119,9
120,24
121,36
122,9
123,16
124,25
125,5
126,36
127,16
128,23
129,0
130,21
131,16
132,17
133,9
134,43
135,27
136,19
137,39
138,2
139,32
140,9
141,3
142,7
143,5
144,33
145,30
146,45
147,19
148,25
149,37
150,43
151,9
152,26
153,22
154,16
155,45
156,20
157,8
158,32
159,40
160,9
161,0
162,9
163,11
164,28
165,8
166,19
167,41
168,6
169,12
170,15
171,21
172,0
173,25
174,16
175,9
176,8
177,27
178,29
179,11
180,2
181,34
182,28
183,39
184,39
185,30
186,29
187,11
188,21
189,23
190,38
191,35
192,8
193,44
194,9
195,33
196,42
197,31
198,38
199,32
200,30
201,3
202,10
203,38
204,23
205,25
206,44
207,9
208,4
209,14
210,37
211,2
212,14
213,2
214,19
215,15
216,26
217,14
218,27
219,6
220,13
221,17
222,21
223,30
224,26
225,17
226,34
227,8
228,30
229,4
230,22
231,20
232,9
233,24
234,12
235,3
236,40
237,6
238,23
239,21
240,23
241,5
242,11
243,29
244,43
245,37
246,35
247,9
248,27
249,16
250,40
251,8
252,21
253,21
254,29
255,10
256,37
257,34
258,41
259,14
260,20
261,36
262,40
263,45
264,0
265,39
266,21
267,34
268,22
269,46
270,21
271,20
272,20
273,2
274,5
275,27
276,46
277,32
278,42
279,3
280,30
281,46
282,0
283,2
284,45
285,38
286,37
287,38
288,22
289,38
290,38
291,4
292,31
293,32
294,23
295,9
296,34
297,41
298,27
299,39
300,37
301,3
302,3
303,32
304,5
305,18
306,39
307,5
308,18
309,22
310,40
311,27
312,4
313,45
314,27
315,19
316,25
317,16
318,25
319,23
320,45
321,0
322,26
323,28
324,6
325,4
326,31
327,4
328,9
329,40
330,3
331,35
332,22
333,33
334,7
335,3
336,35
337,30
338,19
339,19
340,5
341,1
342,22
343,44
344,15
345,35
346,31
347,29
348,11
349,9
350,0
351,13
352,24
353,9
354,6
355,40
356,11
357,23
358,26
359,3
360,26
361,41
362,13
363,8
364,9
365,9
366,39
367,23
368,2
369,13
370,10
371,45
372,16
373,5
374,23
375,10
376,10
377,17
378,17
379,36
380,38
381,1
382,39
383,46
384,37
385,31
386,30
387,43
388,33
389,16
390,16
391,12
392,7
393,44
394,15
395,9
396,33
397,16
398,32
399,18
400,37
401,3
402,20
403,21
404,9
405,32
406,9
407,35
408,27
409,43
410,6
411,42
412,18
413,21
414,9
415,11
416,45
417,27
418,42
419,22
420,34
421,40
422,39
423,15
424,11
425,9
426,13
427,44
428,44
429,19
430,46
431,30
432,34
433,23
434,35
435,17
436,18
437,4
438,8
439,1
440,9
441,44
442,12
443,42
444,39
445,14
446,13
447,2
448,8
449,14
450,18
451,8
452,3
453,17
454,18
455,45
456,30
457,11
458,9
459,7
460,36
461,26
462,27
463,31
464,22
465,5
466,37
467,37
468,44
469,44
470,11
471,9
472,42
473,22
474,15
475,13
476,46
477,37
478,21
479,42
480,9
481,14
482,43
483,19
484,17
485,5
486,13
487,38
488,45
489,6
490,19
491,31
492,14
493,34
494,12
495,7
496,35
497,10
498,17
499,7
500,36
501,18
502,15
503,43
504,31
505,9
506,32
507,27
508,4
509,10
510,29
511,9
512,20
513,39
514,42
515,16
516,26
517,38
518,36
519,26
520,31
521,9
522,38
523,32
524,27
525,46
526,27
527,30
528,27
529,39
530,17
531,44
532,9
533,35
534,32
535,34
536,21
537,17
538,18
539,39
540,25
541,25
542,7
543,19
544,21
545,0
546,22
547,19
548,16
549,38
550,12
551,46
552,12
553,27
554,28
555,29
556,43
557,3
558,46
559,9
560,25
561,13
562,34
563,27
564,20
565,0
566,39
567,0
568,22
569,46
570,23
571,5
572,8
573,26
574,32
575,14
576,7
577,3
578,34
579,25
580,13
581,19
582,33
583,45
584,11
585,38
586,18
587,25
588,7
589,17
590,16
591,20
592,6
593,11
594,21
595,21
596,16
597,0
598,11
599,2
600,40
601,21
602,46
603,43
604,20
605,14
606,32
607,42
608,13
609,31
610,42
611,38
612,37
613,22
614,28
615,5
616,40
617,1
618,21
619,7
620,31
621,41
622,31
623,40
624,8
625,31
626,12
627,34
628,41
629,24
630,23
631,24
632,5
633,44
634,36
635,15
636,29
637,39
638,11
639,45
640,17
641,28
642,45
643,24
644,15
645,16
646,6
647,21
648,6
649,16
650,0
651,25
652,32
653,20
654,31
655,43
656,46
657,8
658,30
659,31
660,37
661,44
662,9
663,0
664,35
665,29
666,21
667,2
668,30
669,24
670,15
671,32
672,21
673,21
674,45
675,39
676,44
677,18
678,36
679,11
680,42
681,6
682,3
683,2
684,31
685,11
686,9
687,22
688,27
689,4
690,8
691,39
692,16
693,2
694,22
695,14
696,42
697,20
698,6
699,37
700,20
701,4
702,39
703,25
704,46
705,10
706,38
707,8
708,14
709,30
710,8
711,6
712,4
713,35
714,0
715,45
716,9
717,26
718,43
719,6
720,34
721,20
722,19
723,46
724,25
725,38
726,45
727,4
728,20
729,17
730,4
731,15
732,39
733,45
734,25
735,7
736,38
737,14
738,44
739,28
740,28
741,6
742,34
743,23
744,22
745,46
746,46
747,35
748,16
749,7
750,43
751,9
752,16
753,3
754,36
755,17
756,35
757,8
758,30
759,24
760,42
761,41
762,10
763,22
764,2
765,14
766,0
767,35
768,30
769,13
770,30
771,22
772,21
773,6
774,30
775,21
776,38
777,23
778,27
779,21
780,15
781,23
782,2
783,35
784,31
785,45
786,12
787,41
788,6
789,10
790,21
791,9
792,2
793,4
794,14
795,10
796,25
797,5
798,40
799,10
800,32
801,8
802,6
803,16
804,10
805,23
806,45
807,35
808,34
809,45
810,25
811,23
812,32
813,35
814,3
815,2
816,32
817,23
818,15
819,24
820,41
821,45
822,6
823,17
824,11
825,18
826,2
827,41
828,38
829,6
830,38
831,38
832,20
833,15
834,37
835,38
836,0
837,27
838,21
839,20
840,6
841,29
842,41
843,20
844,42
845,0
846,3
847,41
848,38
849,32
850,3
851,0
852,15
853,25
854,41
855,33
856,27
857,4
858,36
859,13
860,20
861,24
862,38
863,0
864,42
865,17
866,20
867,14
868,18
869,20
870,45
871,14
872,22
873,2
874,23
875,31
876,14
877,21
878,21
879,32
880,15
881,42
882,10
883,46
884,30
885,36
886,32
887,27
888,40
889,33
890,26
891,11
892,30
893,7
894,24
895,25
896,16
897,10
898,22
899,22
900,6
901,23
902,2
903,42
904,9
905,14
906,30
907,33
908,3
909,36
910,45
911,21
912,11
913,13
914,5
915,9
916,17
917,25
918,36
919,4
920,1
921,21
922,15
923,16
924,44
925,9
926,19
927,4
928,13
929,31
930,15
931,2
932,5
933,40
934,20
935,2
936,1
937,0
938,20
939,16
940,14
941,10
942,0
943,6
944,45
945,13
946,9
947,34
948,11
949,32
950,33
951,27
952,2
953,26
954,21
955,36
956,39
957,20
958,42
959,32
960,9
961,38
962,16
963,2
